frame,entity_type,subtype,x_pos
60,ENEMY,1,100
150,ENEMY,1,200
180,POWERUP,MULTI,200
240,ENEMY,2,250
330,ENEMY,2,250
420,ENEMY,1,150
510,ENEMY,2,500
600,ENEMY,1,250
690,ENEMY,1,250
720,POWERUP,MULTI,250
780,ENEMY,2,300
870,ENEMY,1,100
960,ENEMY,2,150
990,POWERUP,MULTI,150
1050,ENEMY,2,300
1080,POWERUP,SHIELD,300
1140,ENEMY,1,250
1230,ENEMY,1,450
1320,ENEMY,2,300
1410,ENEMY,2,500
1440,POWERUP,MOVE_SPEED,500
1500,ENEMY,1,150
1590,ENEMY,1,300
1620,POWERUP,MULTI,300
1680,ENEMY,2,500
1710,POWERUP,SHIELD,500
1770,ENEMY,2,250
2100,ENEMY,2,500
2130,POWERUP,MULTI,500
2250,ENEMY,2,300
2280,POWERUP,SHIELD,300
2550,ENEMY,2,500
2730,POWERUP,MOVE_SPEED,500
3150,ENEMY,1,100
3180,POWERUP,MULTI,100
3330,POWERUP,MULTI,100
3480,POWERUP,MOVE_SPEED,100
3630,POWERUP,MOVE_SPEED,100
3900,ENEMY,1,200
4050,ENEMY,2,400
4350,ENEMY,1,400
4530,POWERUP,SHIELD,400
4650,ENEMY,1,250
4680,POWERUP,MULTI,250
4800,ENEMY,2,150
4950,ENEMY,2,500
4980,POWERUP,MULTI,500
5100,ENEMY,2,200
5280,POWERUP,MOVE_SPEED,200
5550,ENEMY,1,400
5700,ENEMY,1,400
5730,POWERUP,MOVE_SPEED,400
6030,POWERUP,SHIELD,400
